unidade,ABREVIAÇÃO,REGIÃO
HUGOL - HOSPITAL ESTADUAL DE URGENCIAS GOVERNADOR OTAVIO LAGE DE SIQUEIRA,HUGOL,Goiânia - GO
CRER - CENTRO ESTADUAL DE REABILITACAO E READAPTACAO DR. HENRIQUE SANTILLO,CRER,Goiânia - GO
CLINICA TEIA CAIC DR AFRANIO SOARES (TEIA MANAUS III),TEIA - Manaus III,Manaus - AM
COMPLEXO HOSPITALAR REGIONAL DE DOURADOS - CHRD,CHRD,Dourados - MS
"ASSOCIACAO DE GESTAO, INOVACAO E RESULTADOS EM SAUDE - AGIR",AGIR,Goiânia - GO
HECAD - HOSPITAL ESTADUAL DA CRIANCA E DO ADOLESCENTE,HECAD,Goiânia - GO
HDS - HOSPITAL ESTADUAL DE DERMATOLOGIA SANITÁRIA COLÔNIA SANTA MARTA,HDS,Goiânia - GO
"AGIR - ASSOCIACAO DE GESTAO, INOVACAO E RESULTADOS EM SAUDE",AGIR,Goiânia - GO
HOSPITAL ESTADUAL DE JATAI DR. SERAFIM DE CARVALHO - HEJ,HEJ,Goiânia - GO
CLINICA TEIA - SENADOR CANEDO,TEIA - Senador Canedo,Goiânia - GO
CLINICA TEIA CAIC DR JOSE'CONTENTE (TEIA MANAUS I),TEIA - Manaus I,Manaus - AM
COMPLEXO HOSPITALAR SUL,CHS,Manaus - AM
CLINICA TEIA,TEIA,Goiânia - GO
HOSPITAL REGIONAL DE CACERES DR. ANTONIO FONTES,HRCAC,Cáceres - MT
PRONTO ATENDIMENTO SAO PEDRO,PA Sao Pedro,Vitória - ES
PRONTO ATENDIMENTO PRAIA DO SUA,PA Praia do Sua,Vitória - ES
POLICLINICA ESTADUAL BRASIL BRUNO DE BASTOS NETO REGIAO RIO VERMELHO - GOIAS,Policlínica - Goiás,Goiás - GO
"AGIR - ASSOCIACAO DE GESTAO, INOVACAO E RESULTADOS EM SAUDE",AGIR,Goiânia - GO
CLINICA TEIA CAC DR GILSON MOREIRA (TEIA MANAUS II ),TEIA - Manaus II,Manaus - AM
CLINICA TEIA - APARECIDA DE GOIANIA,TEIA - Aparecida,Goiânia - GO
